cName,cNo,semester,year,dueDate,studentID,score,graderID
Database Systems,CS377,Spring,2021,2021-05-06,8uv1aK9btU,114,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-05-06,AnRRwDoMFm,123,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-05-06,cp5asEx6KR,116,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-05-06,EIBGkZJ8LU,91,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-05-06,fe20lUruvB,101,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-05-06,I8k5HwpLlU,52,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-05-06,k4hG2bKBi2,57,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-05-06,kJQAvxlegv,68,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-05-06,l8Ck5AEii7,84,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-05-06,MMNPTkNHZg,132,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-05-06,nlNo3Ifie2,146,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-05-06,OhfDW5FQet,105,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-05-06,pAA8hhbaAf,115,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-05-06,qjAClhRo8T,93,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-05-06,QVsfnLS8nP,67,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-05-06,RwKSObZt8b,120,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-05-06,RxNqRHaaoI,134,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-05-06,v9ksRoAENe,116,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-05-06,WVztzxaqG1,109,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-05-06,xshALL98rR,103,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-04-28,8uv1aK9btU,76,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-04-28,AnRRwDoMFm,62,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-04-28,cp5asEx6KR,89,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-04-28,EIBGkZJ8LU,76,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-04-28,fe20lUruvB,70,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-04-28,I8k5HwpLlU,67,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-04-28,k4hG2bKBi2,57,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-04-28,kJQAvxlegv,73,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-04-28,l8Ck5AEii7,60,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-04-28,MMNPTkNHZg,60,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-04-28,nlNo3Ifie2,72,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-04-28,OhfDW5FQet,80,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-04-28,pAA8hhbaAf,59,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-04-28,qjAClhRo8T,62,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-04-28,QVsfnLS8nP,82,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-04-28,RwKSObZt8b,73,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-04-28,RxNqRHaaoI,94,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-04-28,v9ksRoAENe,79,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-04-28,WVztzxaqG1,59,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-04-28,xshALL98rR,89,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-04-15,8uv1aK9btU,62,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-04-15,AnRRwDoMFm,93,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-04-15,cp5asEx6KR,77,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-04-15,EIBGkZJ8LU,45,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-04-15,fe20lUruvB,62,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-04-15,I8k5HwpLlU,81,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-04-15,k4hG2bKBi2,78,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-04-15,kJQAvxlegv,74,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-04-15,l8Ck5AEii7,62,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-04-15,MMNPTkNHZg,58,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-04-15,nlNo3Ifie2,96,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-04-15,OhfDW5FQet,68,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-04-15,pAA8hhbaAf,81,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-04-15,qjAClhRo8T,46,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-04-15,QVsfnLS8nP,54,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-04-15,RwKSObZt8b,93,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-04-15,RxNqRHaaoI,86,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-04-15,v9ksRoAENe,84,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-04-15,WVztzxaqG1,95,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-04-15,xshALL98rR,98,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-04-02,8uv1aK9btU,94,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-04-02,AnRRwDoMFm,85,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-04-02,cp5asEx6KR,100,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-04-02,EIBGkZJ8LU,89,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-04-02,fe20lUruvB,48,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-04-02,I8k5HwpLlU,51,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-04-02,k4hG2bKBi2,68,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-04-02,kJQAvxlegv,72,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-04-02,l8Ck5AEii7,49,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-04-02,MMNPTkNHZg,59,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-04-02,nlNo3Ifie2,74,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-04-02,OhfDW5FQet,79,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-04-02,pAA8hhbaAf,49,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-04-02,qjAClhRo8T,76,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-04-02,QVsfnLS8nP,80,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-04-02,RwKSObZt8b,100,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-04-02,RxNqRHaaoI,79,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-04-02,v9ksRoAENe,90,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-04-02,WVztzxaqG1,98,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-04-02,xshALL98rR,67,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-02-27,8uv1aK9btU,88,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-02-27,AnRRwDoMFm,65,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-02-27,cp5asEx6KR,70,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-02-27,EIBGkZJ8LU,96,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-02-27,fe20lUruvB,94,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-02-27,I8k5HwpLlU,65,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-02-27,k4hG2bKBi2,85,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-02-27,kJQAvxlegv,78,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-02-27,l8Ck5AEii7,88,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-02-27,MMNPTkNHZg,74,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-02-27,nlNo3Ifie2,78,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-02-27,OhfDW5FQet,96,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-02-27,pAA8hhbaAf,90,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-02-27,qjAClhRo8T,58,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-02-27,QVsfnLS8nP,70,JulFHBBgP9
Database Systems,CS377,Spring,2021,2021-02-27,RwKSObZt8b,99,JulFHBBgP9
